"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76"
"42","A42",5,5.24,5.94,6,6,6.38,7,7.44,7.5,7.5,7.7,7.7,7.78,7.9,7.98,8,8,8.1,8.11,8.2,8.2,7.76,7.08,7.1,7.36,7.4,7.48,7.5,7.6,7.7,7.7,7.7,7.7,7.7,7.7
"43","A43",5,5,5,5,5,5,5,5,5,5.01,5.3,5.41,5.7,5.7,5.7,5.96,5.97,6.04,5.89,5.54,5.7,5.88,5.99,6.04,6.19,6.39,6.56,6.73,6.9,6.99,7.03,7.2,7.2,7.23,7.5
"44","A44",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.04,6.93,7,7,7,7,7,7,7,7,7,7
"45","A45",5,5,5,5,5,5,5,5,5.5,5.62,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.22,6.5,6.5,6.5,6.5,6.5,6.82,7,7,7
"46","A46",5,5,5,5,5,5.09,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.58,5.43,5.2,4.77,5.5,6.6,6.6,6.64,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"47","A47",5,5.05,5.72,6,6,6,6,6,6,6,6.07,6.5,6.74,7,7,7,7,7,7,7,7,7,7.01,7.56,7.89,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.77,7.7,7.6
"48","A48",5,5,5,5,5,5.01,5.6,5.7,5.7,5.7,5.96,6,6,6,6,6,6,6,6,5.82,5.5,5.34,5.24,5.84,6.33,6.9,7,7,7.01,7.38,8,8,8,7.9,7.9
"49","A49",5,5.03,7.49,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.22,6.41,7.22,8.16,8.12,8.33,7.87,8.58,8.18,8.28,7.93,4.07,7,7
"50","A50",5,5.45,7.07,8.08,8,8.03,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"51","A51",5,5.8,6.62,7.21,7.5,7.69,8.11,8.28,8.34,8.4,8.6,8.61,8.7,8.7,8.7,8.7,8.7,8.7,8.48,7.9,7.51,7.3,7.33,7.88,8.38,8.58,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
"52","A52",5,5.29,6.16,6.3,6.3,6.3,6.48,7.99,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.44,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
"53","A53",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.06,2.86,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"54","A54",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.13,5.9,6.62,7.37,7.48,7.03,7,7,7,7,7,7,7
"55","A55",5,5.37,6.6,6.6,6.6,6.79,8,8,8,7.9,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,6.4,6.4,6.4,6.66,8.1,8.1,8.1,8.1,8.27,8.5,8.5,8.5,8.3,4.6,5.6,5.6
"56","A56",5,5,5,5,5.07,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5,5,5,5,5.08,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.4,5.4
"57","A57",5,5,5,5,5,5.14,5.72,6,6,6,6,6.14,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
"58","A58",5,5.14,6.5,6.97,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.03,6.03,6,6,6.03,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"59","A59",5,5,5,5,5,5,5,5,5,5,5,5.01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"60","A60",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,6,6,6,6,6,6,6,6.02,7.94,8,8,8,8,8,8,8,8,8,8
"61","A61",5,5,5,5,5.67,5.89,6.35,6.4,6.69,7.1,6.73,6.1,6.06,6.1,6.1,6.1,6.1,6.1,6.1,6.04,6,6,6.11,6.81,7.08,7.35,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"62","A62",5,5,5,5,5,5,5,4.88,4.8,4.8,5.08,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5,5,5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"63","A63",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"64","A64",5,5,5,5,5,5,5,5,5,5,5,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.44,5.8,5.8,5.8,5.8,5.8,5.8,5.8
"65","A65",5,5.16,6,6,6,6,6,6,6.01,6.2,6.58,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.52,6.98,7,7,7,7,7,7,7,7,7,7,7.1
"66","A66",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.68,4.03,4,4,4,4.16,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"67","A67",5,5.09,6.69,6.99,7.03,7.03,7.5,7.94,8.02,8.02,8.02,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.53,8.92,8.92,8.92,8.92
"68","A68",5,5,5,5,5.04,8.04,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"69","A69",5,5,5,5,5,5,5.03,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"70","A70",5,6,7.07,7.2,7.2,7.2,7.26,7.62,8,8,8.16,8.2,8.2,8.3,8.3,8.3,8.38,8.48,7.84,6.58,5.5,4.8,4.47,8,8.24,8.28,8.3,8.34,8.6,8.48,8.7,8.22,8,8.71,8.8
"71","A71",5,6.07,6.3,6.3,6.33,6.42,6.71,6.8,6.8,7,7,7,7,7,7,7,7,7,5.62,3.8,5.22,5.47,6.06,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.86,7.09,7.1
"72","A72",5,5.69,7,7,7,6.98,5.8,5.8,5.8,6.19,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7,6.36,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
"73","A73",5,5,5,5.22,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,4.7,4.43,4.4,4.4,4.4,4.2,4.41,4.6,4.6,4.7,4.47,4.48,4.72,5.41,5.5,5.5,5.46,5.3,5.5,5.5
"74","A74",5,5,5.21,6.47,6.9,6.9,6.9,6.9,7,7.07,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.71,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
"75","A75",5,5.1,5.29,5.37,5.53,5.71,5.8,5.9,6.03,6.1,6.3,6.4,6.58,6.66,6.7,6.6,6.6,6.6,6.5,6.39,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.63,6.88,6.9,6.9,7
"76","A76",5,5,5,5,5,5,5,5.04,5.3,5.3,5.3,5.4,5.5,5.58,5.6,5.6,5.7,5.7,5.8,5.8,5.86,5.9,5.9,6.06,6.1,6.1,6.2,6.29,6.3,6.3,6.4,6.4,6.4,6.4,6.46
"77","A77",5,5,5,5,5,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.29,5.2,5.2,5.2,5.25,5.56,5.82,6,6,6,6.02,6.1,6.1,6.1,6.19,6.3,6.3
"78","A78",5,5,5.36,5.4,5.4,5.39,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5.1,5.1,5.02,5.3,5.3,5.3,5.3,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"79","A79",5,5,5,5,5,5,5.41,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,6.04,6.3,6.3,6.3,6.3,6.58,6.7,6.7,6.7
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,5.09,5.2,5.34,5.51,5.72,6,6.27,6.4,6.52,6.8,6.96,7,7,7.11,7.4,7.4,7.5,7.42,7.1,7.19,7.3,7.58,7.86,8,8.06,8.19,8.3,8.4,8.58,8.64,8.66,8.6,8.78,8.8
"82","A82",5,5.16,5.3,5.3,5.3,5.3,5.3,5.56,6,6,6,6,6.07,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.5,7.04,7.2,7.2,7.2,7.66,7.7,7.7,7.7,7.7,7.7,7.7
"83","A83",5,5,5,5,5,5,5,5.01,6.13,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
"84","A84",5,5,5,5,5,5,5,4.99,4.33,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.92,3,2.93,2.93,2.93,2.93,2.93,2.96,3.82,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.34
"85","A85",5,5.13,5.64,6.18,6.88,7.44,8.18,8.96,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"86","A86",5,5,5,5.02,6.23,6.89,7.38,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.57,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
"87","A87",5,5,5,5,5,5.1,5.1,5.16,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.31,5.5,5.59,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.41
"88","A88",5,5,5,6.21,7.67,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"89","A89",5,5.03,6,6.1,6.1,6.48,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.1,6.4,6.39,6,5.96,4.26,4.28,5.1,5.19,7.4,7.4,7.4,7.69,7.96,8,8,8,8,8,8,8
"90","A90",5,5.08,5.5,5.5,5.67,6,6.5,6.5,6.5,6.8,6.8,6.8,7,7,7,7,7,7,7,7,7,7,7,7.17,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4
"91","A91",5,5.03,6.14,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.18,6.16,7.64,7.99,8,8,8.01,8.79,9,8.54,8.08,6.19,8.08,8.4
"92","A92",5,5.1,5.1,5.1,5.2,5.46,5.76,5.8,5.86,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.22,6.32,6.5,6.5,6.7,6.7,6.7,6.7,6.74,6.8,6.8,6.24,5.89,6
