"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122"
"78","A78",5,5,5,5,5,5,5,5,5,5,5,4.96,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.71,4.7,4.7,4.7,4.7,4.7,4.7,4.99,5.1,5.1,5.1,4.81,4.8,4.8
"79","A79",5,5,5,5,5.52,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.57,4.03,4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,3.5,3.5,3.5,3.77,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.42,4.6,4.6,4.84,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,5,5,4.9,4.84,4.7,4.6,4.6,4.5,4.42,4.4,4.4,4.4,4.4,4.4,4.31,4.3,4.3,4.3,4.3,4.3,4.19,4.1,4.1,4.1,4.1,4.08,4,3.94,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.3,3.16,3.1,3.1,3.1,3.1,3.2,3.22,3.2,3.27,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2
"82","A82",5,5,5,5,5,5,5,5,5,4.89,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.37,4.08,3.7,3.7,3.61,3.6,3.6,3.6,3.6,3.53,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.29,3,3,3,3,3,3,3,3,3,3,3,2.97,2.9,2.9,2.9,2.9
"83","A83",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.83,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.79,7
"84","A84",5,5,5,3.37,2,2,1.9,1.9,1.8,2.46,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.59,1.36,1.4,1.46,1.47,1.53,3.09,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
"85","A85",5,5,5.18,5.48,5.5,5.5,5.38,4.82,4.5,4.47,4.02,4,4,4,3.83,3.6,3.5,3.5,3.36,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,3.58,4,4,4,4,4,4,4,3.76,3.17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"86","A86",5,5,5,5,5,5,5,5,5,4.93,4.7,4.41,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.76,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"87","A87",5,5,5,5,5,5,5,4.94,5.14,5.38,5.4,5.5,4.98,5.13,5.5,5.56,5.6,5.7,5.7,5.88,6,6,6,6,6,6,6,6,6,6,5.98,5.99,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,5.81,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
