"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122"
"1","A1",5,5,5,4.98,4.54,4.07,4,4,4,4,4,4,3.98,3.6,3.3,3.3,3.3,3.3,3.3,3.26,3,3,2.72,2.4,2.4,2.67,3.26,3.3,3.3,3.3,3.12,2.8,2.7,2.7,2.7,2.7,2.41,2.1,2,2,2,2,2,1.94,1.74,1.7,1.7,1.7,1.87,2.07,2.25,2.56,2.79,3.22,3.23,3.1,3.1,3.1
"2","A2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.8,4.8,5.32,5.6,5.74,5.94,6,6,6.2,6.2,6.2,6.3,6.4,6.4,6.4,6.59,6.6,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.87,6.9,6.9,6.9,7,7,7,7.1,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
"3","A3",5,5,5,4.9,5.09,4.8,4.7,5.76,4.6,4.6,4.6,4.38,4,4,3.91,3.67,3.7,3.7,4.17,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.98,5,5,4.56,3.5,3.5,3.5,3.5,3.5,3,4.06,6.3,6,5.99,5.8,5.8,5.8,5.8,5.4,5.18,4.7,4.91,5.2,5.16,4.8,4.8,4.8,4.42,4.4,4.4,4.4
"4","A4",5,5.18,5.92,6.1,6.1,6.17,6.2,6.24,6.4,6.4,6.51,7.09,7.3,7.33,7.4,7.4,7.42,7.76,7.8,7.82,7.92,8.1,8.1,8.17,8.2,8.1,8,8,7.98,8.3,8.3,8.3,8.4,8.32,8.3,8.3,8.37,8.4,8.4,8.3,8.02,7.8,7.8,8,8,8,8.04,8.1,8.1,8.1,8,7.8,7.82,8.1,8.1,8.1,7.8,7.68
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.83,4.87,6.11,6.05,4.39,5.04,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"6","A6",5,5,5,5,5,5,5,5,5,5,5,4.84,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.68,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.59,4.5,4.5,4.5
"7","A7",5,5.01,6,6,6,5.98,4.03,4,4,4,4,4,4.23,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.63,6,6,6,6,6,6,6.38,6.4,4.63,3.5,3.46,3,3.18,4.08,5.08,5,5.11,5.7,5.7,5.75,6,6.03,6.58,6.4,6.4,6.07,6.05,6.51,7,7,7,7,7,7,7,7,7
"8","A8",5,5,5.54,6.2,6.2,6.2,6.17,4.21,3.5,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.76,6.8,7,7.1,7.31,7.4,7.17,6.49,5.8,5.8,5.8,5.8,5.93,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.47,6.6,6.57,5.53,6.8,6.8,6.8,5.33,4.7,4.7,4.9,4.9,4.9,4.99,5.72,7,6.81,6.6,6.6
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.12,6.4,7.01,6.93,6.9,6.9,6.8,6.8,6.8,6.8,6.78,6.7,6.7
"10","A10",5,5,5,5,5,5,5.45,5.9,5.98,6.1,6.1,6.14,6.2,6.2,6.2,6.2,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.5,6.68,6.7,6.7,6.7,6.7,6.7,6.5,6.3,6.26,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.5,6.69,6.7,6.77,6.8,6.8,6.8,7.03,7.1,7.1,7.1,7.1,7.1,7.1,7.23,7.5,7.51,7.6
"11","A11",5,5.08,6,6,6,6,6,6,6,6,6,6,6,6,6.53,6.7,6.7,6.7,6.7,6.83,7.1,7.1,7.1,7.1,7.34,7.78,7.6,7.6,7.6,7.67,7.7,7.8,7.8,7.8,6.5,6.5,6.44,5.5,4.97,4.4,4.34,4.3,4.43,5.86,5.9,5.9,5.9,6.47,6.94,7.1,7.1,7.29,7.3,7.3,7.36,7.4,7.4,7.4
"12","A12",5,5.18,5.81,6.56,7,7,7,7,7.09,7,7,7,7.1,7.38,7.5,7.5,7.5,7.5,7.66,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.7,7.43,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.27,6.96,6.81,6.8,6.78,6.6,6.76,6.9,7,7,7,7
"13","A13",5,5,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.22,6,6,6,6,6,6,6.52,7,7,7,7,7,7,7,7,7,7,7,7,6.87,6.08,6,6.01,6.2,6.2,6.2,6.2,6.17,5.98,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"14","A14",5,5,5,4.18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.01,4,4,4,4,4
"15","A15",5,5,5,5,5,5,5,5,5,4.96,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"16","A16",5,5,5,5,5,5,5,5.2,5.29,5.3,5.3,5.3,5.3,5.41,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
"17","A17",5,5,5,5.29,5.22,4.7,4.7,4.73,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.67,5.9,5.97,6,5.71,5,5,5,4.98,4.6,4.6,4.6,4.6,4.42,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.47,4.2,4.2,4.02,4.19,4.44,4.99,4.71,5,5.16,4.86,4.94,4.82,4.8,4.8,4.8
"18","A18",5,5,5,5,5,5,5,4.77,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.19,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"19","A19",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.31,5.49,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.65,5.7,5.7,5.7,5.7,5.53,5.2,5.1,5.1,5.1,5.1
"20","A20",5,5.07,5.28,5.3,5.37,5.62,5.91,6,6,5.84,5.7,5.66,5.44,5.03,4.8,4.69,4.3,4.3,4.34,6.01,6.64,7,7.1,7.1,7.1,7.1,7.1,7.07,6.89,5.26,4.6,4.72,4.9,5.08,4.58,4.4,4.31,4.3,4.44,4.5,4.5,4.5,4.59,4.8,5.18,5.48,5.64,5.7,5.7,5.7,5.7,5.8,6.23,6.53,6.7,6.81,7,7
"21","A21",5,5,5,4.7,3.06,3,3,3,3,3,3,3,3,3,3,2.82,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.73,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.17,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6
"22","A22",5,5,5,5,5,5,5,5,5,5,5,5,5,4.82,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.73,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.63,4.6,4.6,4.6,4.52,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
"23","A23",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.77,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
"24","A24",5,5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.47,5.7,5.7,5.7,5.7,5.7,5.7,5.83,6.06,6.1,6.1,6.1,6.2,6.2,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.66,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,7,7,7,7,7,7.2,7.2,7.2,7.2
"25","A25",5,5,5.14,5.19,5.2,5.36,5.5,5.5,5.5,5.5,5.4,5.4,5.37,5.2,5.1,5.1,5.1,5.04,4.97,4.9,4.9,4.9,4.9,4.9,4.9,4.73,4.7,4.7,4.7,4.5,4.4,4.3,4.3,4.3,4.3,4.51,4.86,4.9,4.9,4.9,4.9,4.78,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.84,4.9,4.9,4.9,4.9,4.9,4.9
"26","A26",5,5.06,6,6,6,4.56,4.43,4.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.73,4.37,4,4,4,4,4,4,4,4,3.7,3.7,3.7,3.7,3.7,3.7,3.62,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.86,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"27","A27",5,5.2,5.3,5.3,5.29,5.2,5.2,5.2,5.2,5.2,5.2,4.86,4.83,4.9,4.8,4.8,4.8,4.8,4.9,4.98,5,4.89,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.72,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.86,4.67,4.63,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.6,4.6,4.5,4.5
"28","A28",5,5.3,5.3,5.46,5.7,5.12,5.1,5.1,4.8,4.87,5.1,5.1,4.98,4.7,4.7,4.69,4.4,4.4,4.22,4.5,5.19,5.5,5.56,5.7,5.8,5.68,5.47,5.28,5.1,5.1,5.1,5.19,5.4,5.5,5.6,5.6,5.6,5.6,5.6,5.32,5.2,5,4.94,5.1,5.21,5.4,5.5,5.67,6,6,6.1,6.2,6.3,6.3,5.83,5.66,5.6,5.6
"29","A29",5,5,5,5,5,5,5,5,5,4.66,4.6,4.21,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.12,4.4,4.36,4.4,4.92,5.1,5.1,5.16,4.8,4.7,4.11,3.64,3.53,3.5,3.5,3.5,3.73,4.46,5,5,5,5,5,5,5,5,5,5,5
"30","A30",5,5.06,5.1,5.2,5.19,5.17,5.2,5.24,5.3,5.4,5.48,5.5,5.52,5.6,5.6,5.7,5.7,5.7,5.7,5.8,5.84,5.9,6,6.1,6.11,6.21,6.3,6.4,6.5,6.7,6.78,6.69,6.58,6.44,6.3,6.37,6.46,6.47,6.49,6.66,6.58,6.39,6.16,6.16,6.03,6,6.19,6.31,6.5,6.66,6.8,6.93,7,7.06,7,7,7,7
"31","A31",5,5,5,5,5,5,5,5,5.06,5.2,5.2,5.2,5.21,5.4,5.4,5.4,5.4,5.46,5.5,5.5,5.5,5.7,5.7,5.7,5.68,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.91,6.2,6.2,6.2,6.2,6.2,6.2,6.2,5.96,5.9
"32","A32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.38,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"33","A33",5,5.09,5,5,4.99,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.5,4.5,4.74,4.8,4.8,4.8,4.8,4.8,4.8,4.73,4.7,4.7,4.7,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.24,4.2,4.2,4.43,4.5,4.5,4.5,4.5,4.62,4.7,4.7,4.7,5,5,5,4.8,4.8,4.8
"34","A34",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
"35","A35",5,5,4.99,4.5,4.22,4,3.67,3.6,3.6,3.6,3.6,3.72,3.8,3.74,3.6,3.5,3.5,3.5,3.62,4,4.3,4.66,5,5,5,5,5.1,5.2,5.2,5.2,5.2,5.27,5.3,5.3,5.37,5.4,5.4,5.4,5.4,5.3,5.27,5.2,5.26,5.3,5.08,5,4.9,4.93,5.16,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4
"36","A36",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"37","A37",5,5.93,6,5.92,5.8,5.8,5.7,5.7,5.7,5.58,5.56,5.69,5.41,5.37,5.2,5.2,5.16,5.1,5.3,5.3,5.5,5.6,5.6,5.7,5.7,5.62,5.5,5.5,5.54,5.8,5.8,5.8,5.73,5.5,5.5,5.5,5.46,5.3,5.2,5.1,5.14,5,5,5.03,5.5,5.8,5.8,5.8,5.9,6,6,6,6,6,5.92,5.8,5.79,5.7
"38","A38",5,5.12,5.46,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.94,6.3,6.3,6.27,5.19,4.9,4.4,4.08,4,4.64,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,3.93,3.9
"39","A39",5,5,4.96,4.51,4.5,4.22,4.02,4,4,3.98,3.7,3.6,3.6,3.48,3.37,3.3,3.3,3.1,3.19,3.3,3.3,3.3,3.3,3.3,3.28,3.2,3.2,3.2,3.2,3.2,3.2,3.05,3,3,3,3,3,3,3,3,3,2.9,2.92,2.9,2.9,2.89,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.74,2.6,2.5,2.5
"40","A40",5,4.94,4.76,4.64,4.52,4.5,4.34,3.98,3.66,3.51,3.17,2.91,2.68,2.42,2.22,2.07,1.9,2.03,1.83,1.81,2.07,2.37,2.59,2.86,2.93,3.15,2.94,3,3.21,3.47,3.4,3.61,3.76,3.93,4.16,4.4,4.4,4.2,4.24,4.2,4.1,4.1,4.16,4.2,4.08,3.99,3.88,3.9,4.1,4.16,4.2,4.13,4.2,4.53,4.97,5.1,5.1,5.1
"41","A41",5,5,5,5,5,4.84,4.5,4.5,4.5,4.5,4.5,4.5,4.48,4.32,4.3,4.3,4.3,4.3,4.3,4.59,4.7,4.94,5.38,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.71,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"42","A42",5,4.9,4.43,4.4,4.3,4.2,4.12,4,4,3.42,2.88,2.4,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.06,1.9,1.9,2,2.1,2.1,2.1,1.97,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.03,2.16,2.2,2.1,2.2,2.06,1.76,1.7,1.7,1.7
"43","A43",5,5,5,5,4.99,4.87,4.57,4.4,4.4,4.4,4.27,4.2,4.2,4.2,4.2,4.06,3.9,3.9,3.9,3.87,3.7,3.7,3.7,3.52,3.5,3.5,3.5,3.41,3.4,3.5,3.5,3.56,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.54,3.79,3.79,3.73,3.9,3.96,4.1,3.96,3.7,3.7,3.7
"44","A44",5,5,5,5,5,5,4.62,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
"45","A45",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.47,4,4,4,4,4,4,4,4,4,2.94,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"46","A46",5,5,5,5,5,4.88,4.6,4.31,4.3,4.28,4.2,4.08,4,4,4,4,4,4,4,4,3.93,3.9,3.9,3.84,3.7,3.7,3.7,3.7,3.7,3.67,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.44,3.4,3.3,3.3,3.38,3.64,3.9,3.9,3.9,4,3.98,3.9,3.9,3.9,3.91,4.1,4.1,4.1,3.99
"47","A47",5,5,5.17,5.4,5.49,6.01,6.5,6.5,6.5,6.6,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.69,6.7,6.7,6.8,7.06,7.14,7.2,7.2,7.24,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.18,6.8,6.74,6.7,6.6,6.6,6.5,6.07,5.62,5.63,5.79,5.94,6.26,6.41,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.8
"48","A48",5,5,5,5,5,5,5,5,5,5,5,5,5,4.99,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.56,4.6,4.68,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"49","A49",5,5,5,5,5,5,5,5.46,6.05,6.05,6.05,2.26,1.97,5.98,3.46,6.69,6.78,3.95,8.13,8.13,8.29,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,6.47,6.47,6.47,6.47,6.47,6.47,6.47,4.07,3.71,3.71,3.71,2.19,2.49,1.9,5.89,3.2,1.05,6.61,8.31,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46
"50","A50",5,5.89,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"51","A51",5,5,5.2,5.2,5.2,5.01,4.9,4.9,4.8,4.8,4.8,4.8,4.68,4.46,4.4,4.3,4.3,4.04,3.98,3.8,3.77,3.53,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.07,3,3.1,3.73,4.13,4.62,5.14,5.59,5.7,5.63,5.5,5.41,5,4.87,5.26,5.6,5.79,5.8,5.92,6.03,6.1,6.16,6.2,6.2,6.21,6.4,6.4,6.49,6.5
"52","A52",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,3.4,3.4,3.4,3.4,3.4,3.4
"53","A53",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.06,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"54","A54",5,4.98,5.71,6,6.04,6.86,8.16,7.76,7.4,7.24,7.09,6.61,6.5,6.44,6.27,6.05,6.07,5.69,5.6,5.46,5.09,4.94,5.18,4.69,4.72,4.4,4.04,4.21,4.3,4.3,4.3,4.3,4.3,4.3,4.13,4.3,3.99,3.84,3.77,3.7,3.71,3.49,3.19,3.04,2.86,2.74,2.74,3.32,3.8,4.17,4.48,4.74,4.98,5.3,5.3,5.2,5,4.85
"55","A55",5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.17,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5,5,5,5.03,5.14,5.2,5.2,5.2,5.2
"56","A56",5,5,5,5,5,5,5,4.91,4.84,4.8,4.88,4.9,4.74,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.64,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8
"57","A57",5,5,5,4.94,4.87,4.63,4.26,4.2,4.2,4.09,4,4,4,4,4,4,4,4,4,3.34,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
"58","A58",5,5,5,5,4.43,3.58,3.5,3.5,3.38,3.09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.81,2.5,2.4,2.4,2.4,2.4,2.4,2.31,2.3,2.3,2.3,2.3,2.2,2.84,3.5,3.6,3.6,3.6,3.6,3.6,3.61,4.15,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4
"59","A59",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"60","A60",5,5,5,5,4.64,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"61","A61",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.87,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.28,4.23,3.9,3.9,3.74,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
"62","A62",5,5,5,5,5,5,4.94,4.9,4.8,4.7,4.7,4.52,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.97,4,4,4,4,4,4,4,4,4,4,4,4,4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
