"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122","V124"
"49","A49",5,5,5,5,5,5,5,3.7,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.82,3.22,3.18,2.9,3.11,3.87,7.38,6.65,1.81,5.05
"50","A50",5,5.62,7,7,7,7,7,6.79,4.89,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.84,7,7,7,7,7,7,7,7,7,7
"51","A51",5,4.99,4.8,4.8,4.8,4.5,4.5,4.5,4.5,4.42,4.4,4.26,4.2,4.2,4.2,3.92,3.83,3.58,3.5,3.42,3.4,3.4,3.28,2.91,2.57,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.34,2.2,2.2,2.2,2.2,2.24,2.37,2.4,2.4,2.38,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.07,2,2.22
"52","A52",5,5,5,5,4.87,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.6,4.6,4.6,4.6,4.86,5.3,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.78,6,6,6,6,6,6
"53","A53",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.4,2.96,3,3,3,2.99,2.06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"54","A54",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.3,7.05,7.77,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.24,8.93,9,8.9,8.66,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"55","A55",5,5,4.93,4.9,4.9,4.97,5.1,4.99,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.83,5.3,5.3,5.3,5.3,5.3,5.29,4.5,4.4,4.4,4.48,4.7,4.7,4.7,4.7,4.62,4.6,4.63,4.92,5,5,5,5,5,5,5,5,5,5.03,5.17,5.2,5.2,5.2,5.2,4.91
"56","A56",5,5,5,4.57,4,4,4,4,4,4,4,4,4,4,4,4,4,3.61,3.6,3.6,3.6,3.6,3.6,3.6,3.39,3.21,3,3,3,3,3,3,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"57","A57",5,5,5,4.96,4.8,4.8,4.8,4.8,4.8,4.8,4.76,4.56,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.6,5.6,5.6,5.7,5.8,5.8,5.8,5.8,5.74,4.9,4.64,4.6,4.59,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.13,6.64,6.7,6.7,6.7,6.7
"58","A58",5,5,5,5,4.32,4,4,4,4,4,3.73,3.4,3.4,3.4,2.94,2.9,3.9,3.23,3.1,3.1,4.3,4.51,5.42,5.51,6.37,6.4,6.4,6.4,6.4,6.41,6.5,6.5,4.76,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.66,5.65,6,6,6,6,6,6,6,6,6,6,5.99,2.59,2,2,2,2
"59","A59",5,5,5,3.98,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
"60","A60",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.13,6.4,6.4,6.4,6.4,6.4,6.4,4.33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"61","A61",5,5,5,5,5,5,4.98,4.52,4.5,4.5,4.5,4.32,4.11,3.53,3.5,3.5,3.39,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.54,2.47,2.32,2.2,2.2,2.1,2.02,2.06,2.36,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.28,2.1,2.1
"62","A62",5,5,5,5,5,4.78,4.5,4.5,4.5,4.5,4.5,4.5,4.49,4.31,4.2,4.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.98,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.53,3.5,3.33,3.3,3.3,3.3
"63","A63",5,5,5,5,5,4.79,1.59,6.46,7.97,4.91,5,4.99,2.6,1.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","A64",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
"65","A65",5,5,5,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.88,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.42,4.3,4.3,4.26,4,4,4,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.21,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.28
"66","A66",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.7,6.8,7.22,7.3,7.3,8.09,8.52,8.5,8.5,8.5,8.5,8.47,8.22,7.77,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.62,7.79,8.09,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
"67","A67",5,5,5,5,5,4.55,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
"68","A68",5,5,5,5,5,5,5,5,5,5,5,5,5.12,5.72,6.74,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"69","A69",5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.83,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.83,4.8,4.8,4.8,4.8
"70","A70",5,4.96,4.53,4.02,4.08,3.79,3.23,3.63,5.62,5.76,5.86,5.9,5.97,6.4,5.38,4.42,3.62,3.36,2.8,2.5,2.48,2.12,2.57,3.48,3.5,2.69,1.73,1.5,1.71,3.8,3.89,3.6,2.68,2.38,3.17,4.3,4.74,4.44,3.99,3.21,3,2.74,2.84,3.21,3.44,3.5,3.4,3.17,2.84,2.3,2.3,2.3,2.3,2.2,2.17,4.08,5.4,4.59,3.68
"71","A71",5,5,5,5.04,8,8,8,8,8,8.36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.82,8.26,8.2,8.2,8.2,8.22,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"72","A72",5,5.07,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.58,3.2,4.02,4.91,5.2,5.2,5.2,5.2,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"73","A73",5,5,5,5,5,5.04,5.69,5.7,5.7,5.7,5.7,5.7,5.7,6,6,6,6,6,6,6.38,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6,6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.41,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"74","A74",5,5,5,5,4.73,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.99,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8
"75","A75",5,5,5,5,5,4.84,4.9,4.8,4.74,4.66,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.28,4.14,4,3.9,3.9,3.88,3.61,3.5,3.5,3.39,3.3,3.3,3.3,3.3,3.22,3.5,3.5,3.5,3.14,2.99,2.9,2.67,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.29,2.2
"76","A76",5,5,4.91,4.7,4.7,4.7,4.7,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.76,3.53,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
