"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122","V124"
"100","A100",5,6.57,7.3,7.3,7.32,6.79,6.4,6.4,6.39,6.29,5.79,5.6,5.6,3.37,2.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.88,5.8,5.8,5.8,5.8,5.8,5.8,5.8,3.86,3.6,3.6,3.6,3.6,3.6,3.6,3.78,2.7,2.5,2.49,2.4,4.34
"101","A101",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.01,5.79,6.12,6.51,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.2,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
"102","A102",5,5,5,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.67,4.57,4.4,4.4,4.4,4.4,4.39,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.03,4,4,4,4,4,4,4,4,4.08,4.1,4.1,4.1
"103","A103",5,5,5,4.97,4.6,4.6,4.66,4.48,4.73,4.99,4.92,4.8,4.8,4.8,4.8,4.77,4.34,4.3,4.39,4.5,4.33,4.3,4.3,4.3,4.3,4.3,4.3,4.13,4.11,4.37,4.31,4.42,4.04,3.9,3.9,3.9,3.9,4.02,4.34,4.68,4.7,4.73,4.8,4.67,4.6,4.6,4.6,4.6,4.6,4.36,4.18,3.97,4.11,4.46,4.5,4.5,4.5,4.5,4.89
"104","A104",5,5,5,5,5.09,5.39,5.58,5.46,5.35,5.4,4.9,4.57,4.4,4.4,4.4,4.3,4.28,3.93,3.9,3.81,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.78,3.17,2.61,2.6,2.6,2.6,2.6,2.6,2.88,3.29,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.52,3.88
"105","A105",5,5.23,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.21,4.6,4.62,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.07,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.88,3.6
"106","A106",5,5,5,5.72,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.04,6.97,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
"107","A107",5,5,5,5,5,5,5,5,5,5,5,5.29,5.35,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.98,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.01,5.52,5.87,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.46,6.49,6.49,6.54,6.76,6.76
"108","A108",5,5,4.93,4,4,4,4,4,4,4,4,4,3.31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.73,2.13,2,2,2,2,2,2,2,2,2,2,2,2,2.36,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
"109","A109",4.98,4.25,3.26,3.2,3.2,3.2,2.89,2.8,2.56,2.23,2.21,2.21,2.24,2.26,1.91,1.63,1.1,1.2,1.39,1.3,1.34,1.5,1.5,1.5,1.5,1.5,1.52,1.47,1.49,1.64,1.64,1.62,1.83,1.73,2.7,3.67,4.74,5.16,4.48,4.12,3.74,3.23,3.49,3.09,2.67,2.6,2.32,2.06,1.92,2.07,3.1,4.1,4.96,5,5.09,5.56,5.03,5,4.93
"110","A110",5,5,4.8,4.82,4.52,4.3,4,3.48,3.48,3.16,2.8,2.5,2.07,1.99,2.02,2.08,2.17,1.84,2.08,2.21,2.16,2.62,2.89,3.23,3.34,3.09,3.27,3.29,3.53,3.53,3.52,3.19,2.51,1.84,2.27,2.94,3.32,3.09,2.78,2.61,2.2,2.06,1.7,1.81,1.9,1.84,1.8,1.81,1.86,1.88,1.44,1.52,1.68,1.36,1.37,1.1,1.3,1.34,1.46
"111","A111",5,5,5,5,5,5.86,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.46,6.68,6.96,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.92,5.27,4.96,4.96,4.46,4.46,4.46,5.7,5.72,5.72,5.72,5.72,5.72,5.72,5.72,6.46,6.54,6.54,6.54,6.54,6.54,6.54,6.54,5.78,5.78,5.78
"112","A112",5,5,5,4.6,4.32,4,3.99,4,4.01,4.01,4,4,4,4,4,4,4,4,4,4,4,3.97,3.94,3.9,3.86,3.82,3.82,3.82,3.79,3.68,3.71,3.71,3.69,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.6,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.57,3.5,3.49,3.51,3.5,3.5,3.5,3.5,3.5
"113","A113",5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.6,5.6,5.6,5.6,5.6,6.21,3.69,5.76,6,6,6,6,6.67,6.07,6.07,6.07,6.07,6.09,6.17,6.17,6.17,6.17,6.17,6.17,6.08,6,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,6.09,5.97
"114","A114",5,4.88,4.54,4.3,4.2,3.88,3.7,3.7,3.68,3.84,3.66,3.5,3.71,3.57,3.23,3.08,2.73,2.97,3.02,3,2.96,3,3.14,3.03,2.9,3.06,3.11,3.14,3.02,2.9,2.93,2.69,2.54,2.34,2.76,3.13,3.2,3.24,3.1,2.96,2.94,2.92,2.71,2.84,2.86,2.86,2.6,2.76,2.9,2.92,2.63,2.52,2.68,2.5,2.34,2.19,2.1,2,2
"115","A115",5,5.03,5.36,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.04,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.48,6.6,6.34,6.3,6.3,6.3,6.52,7.08,7.17,6.94,6.74,4.83,5.39,6.01,6.5,6.6,6.58,6.64,7.03,7.04,6.74,7,7.12,7.06,6.27,6.17,5.71,5.77,5.96,6.09,5.94,6.31,6.39,6.1,5.82,6.13,6.31
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.02,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
"117","A117",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.19,5.5,5.58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.94,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
"118","A118",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.23,5.43,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,5,4.8,4.49,2.39,2.3,2.3,2.3,2.34,2.39,2.32,2.44,2.3,2.3,2.3,2.3,2.3,2.3,2.35,3.1,3,3,3,3,3,3.02,1.84,2.3,2.48,4.42,4.3,4.19,3.9,3.82,3.24,3.33,3.33,3.44,5.06,4.9,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,4.33,5.22,5.5,5.5,5.71,5.8,5.8,5.8
"121","A121",5,5,5.58,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.33,5.01,5.2,5.2,5.2,5.9,5.78,5.48,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.03,6.4,5.92,3.6,2.4,3.23,5.83,6,5.11,5,5,5,5,5.17,5.47,5.5,5.5,5.56,5.7,5.7,5.7,5.99,6,6,6,6,6,6,6,6.2
"122","A122",5,5,5,5,5,6.31,7,7,7,7,7,7,7,7,7,7,6.21,4.03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.77,3,3,3,3,3,3,3,3,3,3,3,3,3,2.2,2,2,2,2,2,2,2,2,2,2,2,2
"123","A123",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
