"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70"
"71","A71",5,5,5.58,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
"72","A72",5,5,5.14,8.99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"73","A73",5,5.36,5.6,6,6.2,6.2,6.2,6.2,6.2,6.2,6.39,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.49,6.6,6.6,6.6,6.6,6.6,6.6,6.8,6.8
"74","A74",5,5.28,6.21,6.84,6.9,6.9,6.9,6.9,6.9,7,7,7,7,7,7,7.06,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4
"75","A75",5,5,5.02,5.17,5.2,5.3,5.4,5.5,5.57,5.94,6.38,6.5,6.61,6.85,7.04,7.1,7.37,7.63,7.7,7.88,8,8.03,8.23,8.5,8.5,8.5,8.5,8.6,8.6,8.6,8.7,8.8
"76","A76",5,5,5,5.01,5.89,6.22,6.2,6.2,6.2,6.2,6.27,6.44,6.5,6.5,6.5,6.68,7,7,7,7,7,7,7,7,7,7,7,7,7.18,7.44,7.5,7.5
"77","A77",5,5.42,5.67,5.94,6.1,6.1,6.1,6.3,6.3,6.46,6.78,7.1,7.1,7.2,7.2,7.3,7.3,7.32,7.4,7.4,7.4,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.6,7.7,7.7
"78","A78",5,5,5.17,5.34,5.72,6,6.3,6.5,6.6,6.7,6.7,6.7,6.7,6.86,6.9,6.9,7.03,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.31,7.5,7.5,7.5,7.5
"79","A79",5,5,5,5.32,6.24,6.76,7,7,7,7,7,7,7,7,7,7,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
"80","A80",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.39,2.25,2.25,2.25,2.25,2.25,2.25,2.25
"81","A81",4.99,4.82,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.59,4.5,4.47,4.4,4.4,4.4,4.5,4.4,4.4,4.41,4.36,4.3,4.29,4.2,4.33,4.5,4.5,4.5,4.57,4.6,4.5,4.5
"82","A82",5,4.5,4.5,4.5,4.8,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.98,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5
"83","A83",5,5,5,5,5,5,5,5,5,5,5.04,6,6.68,6.6,6.6,6.6,7.02,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.41,7.5,7.7,7.73,8.2,8.2,8.22
"84","A84",5,4.88,2.8,2.8,2.87,4.9,4.9,4.9,4.9,4.9,4.9,4.88,3.1,3.08,1.8,1.8,1.8,1.8,1.8,1.81,4.08,4.1,4.1,4.1,4.1,6.02,6.6,6.6,6.6,6.6,6.6,6.6
"85","A85",5,5.13,5.72,6.47,7.07,7.78,8.67,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
