"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"1","A1",5,5,5,5,4.86,4.6,4.1,4.1,4.03,4,4,4,4,3.9,3.7,3.7,3.7,3.7,3.62,3.07,3,3,3,3,3,3.13,3.88,4,4,4,4,3.96,3.19,3,3,3,2.9,2.41,2.4,2.4,2.07,2
"2","A2",5,5,5,5,5,5,5,5,5,5,4.84,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.62,4.98,5.1,5.12,5.22,5.3,5.33,5.6,5.88,6,6,6.04,6.1,6.3,6.3,6.3,6.37,6.4,6.4,6.5,6.5,6.5
"3","A3",5,5,3.92,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.6,3.6,3.6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,4.4,4.4,4.4,4.2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.22,3,3,3,3
"4","A4",5,5,5,5,5,4.93,4.8,4.64,4.53,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.03,4,3.7,3.7,3.7,3.7,3.7,4,4.03,4.1,4.1,4.16,4.3,4.3,4.3,4.38,4.5,4.5,4.6,4.6,4.6,4.62,4.7,4.8,4.8
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.29,5.73,5.82,5.64,4.52,4.06,4.06,4.06
"6","A6",5,5,5,5,5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,5,5,5
"7","A7",5,4.9,4.21,4,3.62,3.24,3,3,3,3,3.27,4.02,3.5,3.38,3,3,3,2.56,2.5,2.5,2.5,2.5,2.64,3.4,4.42,5.6,5.6,5.6,4.72,4.5,4.54,3.39,3,3,3,2.04,2,2,2,2,2,2
"8","A8",5,5,5.03,5.3,5.3,5.3,5.32,5.5,5.6,5.6,5.67,5.9,6.2,6.43,6.5,6.5,6.6,6.6,6.6,4.21,4.54,5.53,5.98,6.3,6.3,6.3,6.09,5.7,5.6,5.69,4.6,3.77,5.76,4.48,4.4,4.4,4.4,4.3,5.6,5.67,5.6,5.6
"9","A9",5,5,5,5,5,5,5,5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.91,3.77,3,3,3,3,4.67
"10","A10",5,5.07,5.4,5.4,5.4,5.4,5.4,5.4,5.44,6.04,6.1,6.1,6.13,6.2,6.2,6.2,6.2,6.2,6.5,6.5,6.5,6.5,6.76,7.56,7.7,8.2,8.29,8.3,8.4,8.4,8.4,8.4,8.4,8.4,8.2,8.2,8.01,7.9,7.9,7.9,8.16,8.4
"11","A11",5,5,4.98,4.3,4.27,3.8,3.8,3.8,3.8,3.8,3.8,3.76,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.56,3.5,3.5,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,3.4,3.4,3.4,3.07,3.04,4,4,4.4,4.9
"12","A12",5,5,5,4.74,4.51,4.43,4.36,4.3,4.3,4.3,4.36,4.91,5.47,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.8,5.8,5.8,5.8,5.8,5.8,5.77,4.64,4.09,3.66,3.6,3.6,3.6,3.6,3.6,3.6,3.6
"13","A13",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.48,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.14,5,5,5,5,5,5,5,5
"14","A14",5,5,5,4.64,4.5,4.5,4.5,4.5,4.32,4,4,4,4,4,4,4,4,4,3.91,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3
"15","A15",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
"16","A16",5,5,5,5.31,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"17","A17",5,4.79,4.6,4.4,4.4,4.2,4.1,4.1,4.1,4.1,4.1,4.16,4.4,4.4,4.4,4.37,4.21,4.4,4.51,4.04,3.93,3.7,3.7,3.72,3.8,3.94,4.39,5.1,5.1,5.1,5.1,5.1,5.09,4.5,4.3,4.3,4.3,4.3,4.3,4.3,4.67,5
"18","A18",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.28,6,5.33,4.9,4.9
"19","A19",5,5,4.51,3.97,3.6,3.6,3.6,3.38,3.1,3.1,2.93,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
"20","A20",5,5.03,5.24,5.3,5.4,5.5,5.5,5.36,5.3,5.12,4.93,4.9,4.8,4.9,5.02,5.16,5.2,5.3,5.09,4.6,4.44,4.3,4.3,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.28,4.66,4.92,4.5,4.58,4.7,4.5,4.5,4.86,4.8,4.93,5
"21","A21",5,5,5,5,5,4.86,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.36,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.32,5.28,5.98,6,6,6,6,6,6,5.98,3.82,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
"22","A22",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.88,4.86,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"23","A23",5,5,5,5,5,5,4.8,3.42,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.43,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"24","A24",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.31,5.6,5.6,5.6,5.6,5.7,5.7,5.7
"25","A25",5,5,5,5,5,4.85,4.7,4.6,4.51,4.5,4.5,4.5,4.5,4.5,4.2,4.1,4,4,3.8,3.8,3.8,3.8,3.73,3.7,3.7,3.7,3.7,3.44,3.3,3.3,3.3,3.3,3.54,3.88,4.1,4.1,4.1,4.06,3.7,3.7,3.6,3.6
"26","A26",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.14,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"27","A27",5,5,5,5,5,5,4.99,4.9,4.9,5.08,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.17,5.2
"28","A28",5,4.86,4.1,4.1,4.1,3.91,3.5,3.07,3.01,3.59,3.9,3.9,3.94,4.3,4.29,3.8,3.52,3.04,2.9,2.4,2.4,2.4,3.11,3.3,3.3,3.3,3.3,2.68,2.4,2.04,2.15,2.6,2.83,2.06,2,2,1.73,1.5,1.98,1.7,1.6,1.6
