"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"1","A1",5,5,4.96,4.8,4.8,4.8,4.8,4.7,4.6,4.6,4.6,4.6,4.4,4.04,3.97,3.9,3.9,3.9,3.9,3.88,3.8,3.8,3.73,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.79,4.38,4.6,4.44,3.76,3.06,2.9,2.9,2.9,2.92,3.37,3.08
"2","A2",5,5,5,4.51,4.14,4,4,4,4,4,4,4,4,3.97,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7,3.89,4,4,4,4,4.2,4.2,4.2,4.06,4,4,4,4,3.91,3.9,4.18,4.2,3.91
"3","A3",5,5,5,4.97,4.5,4.5,4.5,4.5,4.5,4.46,4.4,4.4,4.4,5.16,4.9,4.6,4.44,3.57,3.5,3.5,3.5,3.29,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.7,4,4,4,3.39,3,3,3,3,3,3,2.69
"4","A4",5,4.82,4.8,4.58,3.21,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.72,2.88,3.4,3.4,3.4,3.4,3.58,3.6,3.6,3.6,5.21,5.8,6.06,6.1,6.1,6.1,6.1,6.1,6.02,5.51,5.4,5.2,4.9,4.32,4.3,4.29,4.2,4.4,4.7,4.7
"5","A5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"6","A6",5,4.96,4.9,4.9,4.9,4.9,4.9,4.9,4.84,4.7,4.7,4.7,4.97,5,5.1,5.1,5.12,5.2,5.2,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"7","A7",5,5,4.76,3.64,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.53,4.67,5.2,5.09,4.52,4.46,3.5,3.5,3.23,3,3,3,3,3,3,3,3,3,3.11,3.13,3,3,3.06,4,5.99,6.14,4.02
"8","A8",5,5,4.92,4.82,4.67,4.3,4.3,4.3,2.52,2.6,4.32,6.41,4.77,4.61,6.07,6.2,6.2,6.2,4.7,4.7,5.52,6.5,6.5,6.5,6.5,6.3,4.4,4.4,4.54,6.68,7.39,6.1,6.1,6.1,5.13,3.6,3.6,4.62,5.11,5.33,5.4,5.23
"9","A9",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.01,5.92,6,6.49,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
"10","A10",5,5,5.28,5.6,5.87,6.2,6.21,6.3,6.3,6.3,6.39,6.4,6.09,5.8,5.7,5.71,5.8,5.73,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.39,5.26,5.1,5.1,4.93,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.24,5.5,5.69
"11","A11",5,5,4.51,4.4,4.4,4.4,4.4,4.4,4.2,4.2,4.2,4.2,4.2,4.11,4,4,4,4,4,4,4,4.2,4.58,3.9,3.9,3.33,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.76,2.1,2.16,4,3.6,3.6
"12","A12",5,5,4.96,4.6,4.6,4.6,4.6,4.68,4.6,4.98,5.1,4.99,4.48,4.32,4.16,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4,4.26,4.3,4.39,4.6,4.84,5,5,5,4.99
"13","A13",5,5,5,5,5,5,5,5,6.38,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6,6,6,6,6,5.98,5.7,5.7,5.7,5.7,5.7,5.7,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"14","A14",5,5,5,5,5,4.36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4.43,5,5,5,5,5,5,5,5,5,5,5,5
"15","A15",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.03,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"16","A16",5,5,4.6,4.31,4,4,4,4,3.94,3.8,3.8,3.8,3.88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.97
"17","A17",5,4.5,4.43,4,4,4,4,4,4,4,4,4.1,3.88,3.94,4.29,4.92,5.4,5.47,5.54,5.73,5.73,5.82,6.18,6.21,6.46,6.49,6.3,6.3,6.4,6.4,6.69,6.7,6.7,6.59,5.73,5.07,4.7,4.7,4.89,4.92,5,4.53
"18","A18",5,5,5,2.11,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"19","A19",5,4.97,4.16,3.41,3.1,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
"20","A20",5,5,5.1,4.74,4.34,4.38,4.5,4.5,4.5,4.79,4.93,5.14,5.09,5.23,4.96,4.77,5.07,5.81,6,6.16,6.2,6.22,6.3,6.3,6.3,6.3,6.22,5.52,5.41,5.4,5.4,5.3,5.3,5.2,5.07,4.14,3.7,3.7,3.7,3.7,3.7,3.53
"21","A21",5,4.99,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.26,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
"22","A22",5,5,5,5,4.98,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.06,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"23","A23",5,5,5,5,5,5,5,5,5,5,5,5,5,4.31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"24","A24",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.07,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.37,5.4,5.39
"25","A25",5,5,4.99,4.7,4.6,4.46,4.4,4.4,4.4,4.4,4.36,4.47,4.39,4.2,4.2,4.2,4.2,4.53,4.78,4.8,4.8,4.8,4.8,4.8,4.8,4.94,5,5,5,5,5,4.93,4.7,4.7,4.7,4.7,4.9,5,5,5,5,5
"26","A26",5,5,5,4.38,2.99,3,3,3,3,3,4.28,4.29,4.29,3.13,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,3.91,4.14,3.99,3.99,3.99,3.99,3.99,3.99,3.99,4.58,4.4,3.74,3.74,3.74,3.74,3.74,4.18,6.51
"27","A27",5,5,5,4.94,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.09,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.24,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3
"28","A28",5,4.73,4.47,3.7,3.34,3.3,3.3,3.3,3.3,3.74,3.99,3.96,3.32,3.08,2.5,2.5,2.56,3.2,3.5,3.77,4.09,4.29,4.7,4.71,5.13,5.2,5.2,5.24,5.4,5.4,5.33,4.94,4.63,4.42,3.78,2.92,2.9,2.9,2.72,3.29,3.57,2.38
"29","A29",5,5.04,4.73,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.72,4.7,4.57,4.4,4.4,4.4,4.4,4.3,4.39,4.68,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.72,5.62,5.7,5.7,5.7,5.7,5.42,4.6,4.6,4.6,5,5.73,5.78,4.77
"30","A30",5,5,5.1,4.91,4.87,4.8,4.7,4.8,4.7,4.7,4.8,4.8,4.81,4.9,5,5,5.1,5.1,5.2,5.02,4.84,4.78,4.84,4.78,4.96,5,5.16,5.4,5.44,5.72,5.8,5.8,5.84,5.7,5.6,5.59,5.6,5.6,5.7,5.7,5.6,5.6
"31","A31",5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.27,4.2,4.2,4.12,4.1
"32","A32",5,5,5,5,5,5,5,5,5,5,5.13,5.61,6,6,6,6,6,6.04,6.58,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"33","A33",5,5,4.96,4.08,3.82,3.02,3,3,3,3,3,3,3,2.87,2.8,2.91,3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.26,3.62,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.99,4,4
"34","A34",5,4.84,4.4,4.17,4,4,4,4,4,4,4,4,4,4,4,4,4.22,5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"35","A35",5,5.04,5.03,4.97,5.07,5.2,5.3,5.4,4.96,4.7,4.5,4.5,4.38,4.13,3.91,3.7,3.6,3.6,3.5,3.62,3.84,4,4,4,4,4,4,4,4,4,4,4,4,4.12,3.92,4.2,4.4,4.49,4.5,4.6,4.6,4.42
"36","A36",5,5,4.62,3,3,3,2.99,2.66,2.5,2.5,2.5,2.5,2.7,2.38,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"37","A37",5,5,4.86,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.67,4.41,4.3,4.3,4.3,4.3,4.2,4.1,4.1,4.1,4.15,4.22,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4,4,4,4,3.81,3.8,3.97,4,3.9
"38","A38",5,3.42,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.33,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.56,5,3.64
"39","A39",5,4.91,4.36,4,4,4,4,4,4,4.7,5.6,6,3.8,3.03,1.5,1.5,1.5,1.5,1.5,1.5,2.03,3.42,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6,6,6,5.18,1.9,1.5,1.5,1.5,1.5,1.94,3,1.31
