"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68"
"101","A101",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.09,5.6,5.4,4.8,4.56,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
"102","A102",5,5.19,5.2,5.29,5.3,5.3,5.3,5.36,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.54,5.6,5.6,5.6
"103","A103",5,4.9,4.66,4.6,4.6,4.6,4.6,4.6,4.56,4.5,4.5,4.5,4.5,4.5,4.82,5,5,5,5,5,5,5,5,5,5,5,5,4.98,4.7,4.63,4.6
"104","A104",5,5,5,5,5,5,5,5,4.97,4.5,5.6,5.46,5.44,5.6,5.23,5.17,4.8,4.73,4.7,4.67,4.37,4.41,4.56,4.4,4.4,4.4,4.87,5.5,5.82,6.32,6.4
"105","A105",5,5,5,5,5,5,5,5,5,5,5.01,5.62,6.11,6.2,6.38,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.45,6.78,5.92,4.41,4.1,4.1,4.1,4.14
"106","A106",5,5,5,5,5,5,5.92,7.03,7.47,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"107","A107",5,5,5,5,5,5,5.01,5.91,6.2,6.63,7,7,7,7,7,7,7,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,7.43,8,8,8,8
"108","A108",5,5,4.79,4.4,4.59,4.81,5.29,5.5,5.4,5.4,5.4,5.4,5.94,6.3,6.3,6.3,6.3,6.3,4.91,4.08,4,4,4,4,4,4,4,4,3.3,3,3
"109","A109",5,4.74,4.17,3.88,3.43,3.32,3.13,3.32,3.34,3.14,2.87,2.94,3.27,3.07,3.24,3.28,3.13,3.48,3.3,2.81,3.18,3.43,3.48,3.49,3.88,3.5,3.73,3.5,3.61,3.94,4
"110","A110",5,4.92,4.49,4.12,4.92,5.39,5.34,5.11,5.33,5.74,5.39,5.42,3.54,3.42,3.47,4.74,5.11,5.28,4.37,3.57,3.34,3.04,2.99,3.03,2.99,3.08,3.13,3.01,3.01,3.01,3.39
"111","A111",5,5,5,5,5,5,4.96,5.89,5.94,5.85,5.85,5.85,5.71,4.23,4.04,4.03,4.03,4,3.78,3.65,3.65,3.94,3.93,3.52,3.2,3.14,3.14,3.14,3.14,3.01,3.01
"112","A112",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.48,5.49,5.49,5.49,5.49,5.49
"113","A113",5,5,5,5,5,5,5,5,5,5,5.05,5.39,6.24,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
"114","A114",5,5.1,5.3,5.44,5.6,5.7,5.73,5.46,5.31,5.64,5.6,5.63,5.62,5.54,5.97,6,6,6.29,6.39,6.57,6.46,6.56,6.7,6.56,6.47,6.5,6.54,6.51,6.5,6.51,6.6
"115","A115",5,5,5.2,5.22,5.3,5.6,5.91,6.3,6.21,7.52,8.08,7.9,7.77,8.31,8.98,9,8.82,8.94,9,9,8.54,8.99,8.9,8.69,8.96,9,8.92,9,9,9,9
"116","A116",5,5,5,5,5,5,3.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117","A117",5,5,5,5,5.3,5.81,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"118","A118",5,5,5,5,5,5,5,5,5,5,5,5,5.02,5.86,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,4.8,4.7,4.7,4.7,4.7,4.61,4.58,4.5,4.5,4.6,4.6,4.6,4.66,4.7,4.7,4.7,4.72,5,5,4.94,4.52,4.5,4.32,4.2,4.2,4.03,3.79,3.7,3.7
"121","A121",5,5,5,5,5,5,5.2,5.33,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.69,4.3,5.26
"122","A122",5,5,5.03,5.9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"123","A123",5,4.89,5.26,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
