"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"30","A30",5,5.16,4.98,5.08,4.96,5.38,5.27,5.58,5.3,5.56,5.89,6,6.03,6.3,6.5,6.7,6.86,7,7.27,7.3,7.13,7.44,7.57,6.98,6.74,6.9,7.01,7.17,7.3,7.26,7.48,7.64,7.78,7.89,7.73,7.77,7.83,7.9,8
"31","A31",5,5,5,5.1,5.1,5.16,5.28,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.18,4.99,4.9,4.8,4.9,4.64,4.6,4.73,4.88,4.91,5.14,5.17,5.07,5.06,5.24,5.29,5.3,5.4,5.4
"32","A32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.28,5.94
"33","A33",5,5.03,5.92,6.47,6.5,6.5,6.77,6.8,6.8,6.8,6.95,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"34","A34",5,5.12,5.58,6,6,6,6,6,6,6,6,6,6,6,6,6.02,5.43,5.76,5.09,6.48,5.73,5.76,5.5,5.7,5.66,7.7,7.7,7.7,7.7,7.71,7.62,6,5.7,5.7,5.7,5.7,5.7,5.7,5.7
"35","A35",5,5,5,5.1,5.39,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.44,5.31,5.3,5.3,5.5,5.6,5.7,5.8,5.8,5.95,6,5.8,5.68,5.6,5.6,5.6,5.6,5.6,5.6,5.6
"36","A36",5,7.3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"37","A37",5,5,5.1,5.2,5.3,5.3,5.3,5.4,5.4,5.63,5.7,5.74,5.8,5.86,5.9,5.9,5.92,6,5.97,5.8,5.8,5.8,5.88,6.12,6.28,6.3,6.35,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.39,6.3,6.39,6.57,6.6
"38","A38",5,5,5.17,6.18,6.3,6.3,6.3,6.78,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.5,5.63,4.78,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.71,7.5,7.5,7.5,7.5,7.5
"39","A39",5,5.21,5.63,6.11,6.7,7,7,7,7,7,7,7.11,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.31,7,7,7,7,7.14,7.5,7.5,7.5,7.5,7.5,7.5,7.91,8,8,8,8,8,8,8
"40","A40",5.03,5.72,6.7,7.11,7.53,7.83,7.9,7.9,7.94,8.06,8.08,7.69,7.98,8.7,8.86,8.84,8.52,8.21,8.32,7.87,8.18,8.4,8.5,8.52,8.34,7.57,7.26,7,6.84,7.11,7.64,7.88,8.12,8.26,8.24,8.29,8.3,8.39,8.4
"41","A41",5,5.38,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.73,5.8,5.9,5.9,5.81,6,6,6,6,6,6,6,6,6,6,6,6.01,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
"42","A42",5.02,5.43,5.5,5.5,6.07,6.2,6.2,6.32,6.4,6.4,6.4,6.4,6.4,6.37,6.57,7.04,7.1,7.1,7.3,7.3,7.3,7.3,7.3,7.59,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
"43","A43",5,5.2,5.4,5.57,5.84,6,6,6,6,6,6,6,6.04,6.3,6.45,6.6,6.6,6.6,6.6,6.6,6.7,6.8,7,7,7,7,7,7,7,7,7,7.08,7.34,7.57,7.7,7.8,7.8,7.8,7.8
"44","A44",5,5.01,8.42,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"45","A45",5,5,5,5,5,5.2,5.76,6,6,6,6,6,6,6,6,6,6.02,6.49,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"46","A46",5,5,5,5,5.03,5.7,5.96,6.21,6.89,7.54,7.89,8.29,8.4,8.59,8.83,8.95,9,9,9,9,9,9,9,9,9,8.9,8.96,8.99,9,9,9,8.83,8.8,8.8,8.8,8.8,8.8,8.8,8.8
"47","A47",5,4.84,4.7,4.58,4.4,4.45,4.6,4.77,5.05,5.43,5.74,6.01,6.25,6.34,6.4,6.5,6.5,6.4,6.4,6.4,6.09,5.58,5.3,6.5,6.9,7,7,7,7.1,7.1,6.99,6.66,6.27,6.1,6,6,5.9,5.9,5.9
"48","A48",5,5,5,5.02,5.2,5.2,5.56,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.57,5.4,5.4,5.4,5.4,5.32,5.2,5.2,5.08,4.9,4.9,4.9,5.03,5.1,5.1,5.1,5.1,5.1,5.1,5.1
"49","A49",5,5,5,5,5,5,6.41,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.09,6.39,6.16,6.13,6.13,6.13,7.39,5.65,7.35,7.34,6.9,7.43,7.48,6.43,7.97,6.68,7.45,7.42,7.42
"50","A50",5,7.26,8.66,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"51","A51",5,5,5,5.47,6.28,7.1,7.89,8.44,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.39,7.99,8.3,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.54,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
"52","A52",5,5,5.77,6.82,7.5,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
"53","A53",5,5,5,5,5.01,5.84,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"54","A54",5,5.41,6.08,6.63,6.94,7.33,7.77,7.56,7.69,7.88,8.38,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.21,8.69,8.84,8.9,8.9,8.9,8.9,8.9,8.9
