"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"107","A107",5,5,5,5,5,5,5,5,5,5.81,6.01,6.01,6.01,6.01,6.01,6.01,5.66,5.46,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.86,5.97
"108","A108",5,5.02,5.98,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
"109","A109",5.06,5.74,6.51,7.2,7.94,8.63,8.72,8.57,8.56,8.82,8.83,8.8,8.72,8.7,8.7,8.49,8.14,8.79,8.8,8.64,8.72,8.79,8.73,8.17,8.11,8.09,8.02,8.02,8,8.19,8.71,8.92,8.53,8.07,8.21,7.84,7.95,8,8
"110","A110",5.02,5.29,5.66,5.88,6.01,6.13,6.13,6.2,6.22,6.33,6.36,6.39,6.71,6.96,7.17,7.26,7.26,7.26,7.23,7.26,7.24,7.49,7.57,7.56,7.63,7.95,8.04,7.91,7.99,8,7.98,7.99,7.79,7.44,7.3,7.13,7.33,7.98,8.56
"111","A111",5,5,5.65,6.85,6.94,7.01,7.01,7.04,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.42,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.52,7.11,7.07,7.07,7.07,7.07,7.07,6.67,6.56,6.56
"112","A112",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.51,5.55,5.73,5.72,5.72,5.87,6,6.01,6,6,6,6
"113","A113",5,5.16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"114","A114",5,5.3,5.56,5.8,5.84,5.9,6.23,6.32,6.48,6.6,6.74,6.86,7.1,7.12,7.04,6.94,6.6,6.7,6.77,6.22,6.26,6.16,6.28,6.3,6.13,6,5.9,5.81,5.93,6.12,6.27,6.03,6.41,6.6,6.4,6.41,6.82,7,7
"115","A115",5,5.07,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.22,6.89,7.16,7.2,7.3,7.28,6.92,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.76,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"117","A117",5,5,5.6,5.99,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.15
"118","A118",5,5,6.07,7.01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.18,7.7
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5.1,5.58,5.8,5.81,5.91,6.06,6.14,6.52,6.44,6.61,6.73,6.7,6.5,6.53,6.49,6.4,6.5,6.5,6.5,6.5,6.37,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.8,7
"121","A121",5.03,7.14,7.57,7.7,7.7,7.7,7.7,7.7,7.7,7.69,3.94,1,1,1,1,1,1.14,2.92,3.12,4.02,2.4,2.4,4.66,7.37,7.82,8,8,8,7.57,5.92,3.79,3.33,3,3,3,3,4.89,6,6
"122","A122",5,5,5,5,5.02,6.84,7.48,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.98,9,9,9,9,9,9,9,9,9,9,9
"123","A123",5,5,5,5,5,5.03,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
