"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"74","A74",5,5,5,5,5,5,5.01,5.92,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.76,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"75","A75",5,5.07,5.1,5.2,5.32,5.5,5.5,5.6,5.67,5.97,6.3,6.32,6.91,7.34,7.7,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.92,8.01,8.1,8.18,8.38,8.6,8.7,8.29,7.81,7.9,7.9,7.9,7.9,7.9,7.9
"76","A76",5,5,5,5,5,5,5,5,5,5,5,4.87,4.7,4.7,4.7,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.02,4
"77","A77",5,5.47,5.53,5.74,5.96,6.17,6.33,6.56,6.77,6.88,7.09,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.3,7.33,7.4,7.4,7.49,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.4,7.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.73
"78","A78",5,5,5,5,4.81,4.7,4.7,4.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
"79","A79",5,5,5,5,5.07,5.69,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.89,4.18,4.07,4.58,3.31,3.3,3.3,3.49,3.29,3,2.86,2.8,2.8,2.8,2.8,3.04,3.6,3.74,4,4,4,4,4,4,4,4
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,5,5.1,5.07,5,5,4.9,4.9,5,5,5,5,5.1,5.1,5.1,5.1,5.11,5.2,5.2,5.2,5.2,5.1,5,5.03,5.1,4.9,4.8,4.8,4.7,4.6,4.37,4.46,4.79,4.97,5.22,5.32,5.4,5.5,5.7,5.8,5.76,5.79
"82","A82",5,4.81,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.2,4.2,4.12,3.8,3.74,3.7,3.7,3.5,3.5,3.5,3.5,3.47,3.4,3.4,3.4,3.4,3.4
"83","A83",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.07,5,5,5,5,5,5
"84","A84",5,5,5,5,5,5.54,6,6,6,6,6,6,6,6,5.99,4.1,4.1,4.18,3.07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"85","A85",5,5,5,5.5,6.47,6.89,7,7,7,7.02,7.4,7.62,7.97,8,8,7.78,7.53,7.19,6.89,6.74,6.51,6.32,6.16,5.99,5.81,5.9,5.9,5.9,5.9,5.9,5.76,5.36,5.56,5.6,5.6,5.6,5.6,5.97,6.16,6.49,6.69,6.31
"86","A86",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.74,4.5,4.5,4.5,4.5,4.5,4.5,4.5
